sample_id,round,compiler,footprint_bytes,passes,operations,elapsed_ns,checksum,expected_checksum,pmu_cycles,pmu_instructions,pmu_ref_cycles,pmu_time_enabled,pmu_time_running,pmu_available
r05-o14-gcc13_scalar-1048576,5,gcc13_scalar,1048576,153,40108032,654562016,220523,220523,1436713661,160432411,1436713652,654589949,654589949,1
r05-o15-gcc13_auto-6291456,5,gcc13_auto,6291456,13,20447232,1028033310,161020,161020,2256452949,81789211,2256452946,1028067142,1028067142,1
r05-o16-gcc13_auto-32768,5,gcc13_auto,32768,36622,300007424,688173355,6888,6888,1510486969,1200029979,1510486978,688200783,688200783,1
r05-o17-gcc13_scalar-36864,5,gcc13_scalar,36864,21702,200005632,539983539,8675,8675,1185222415,800022811,1185222434,540010422,540010422,1
r05-o18-gcc13_scalar-6291456,5,gcc13_scalar,6291456,13,20447232,1328118070,161020,161020,2915113217,81789211,2915113212,1328151875,1328151875,1
r05-o19-clang18_scalar-32768,5,clang18_scalar,32768,36622,300007424,703421591,6888,6888,1543957503,412511360,1543957492,703449477,703449477,1
r05-o20-gcc13_auto-262144,5,gcc13_auto,262144,1221,80019456,482159823,63890,63890,1058304822,320078107,1058304830,482187390,482187390,1
r05-o21-clang18_auto-262144,5,clang18_auto,262144,1221,80019456,489249770,63890,63890,1073868039,110027904,1073868026,489277850,489277850,1
r05-o22-clang18_auto-32768,5,clang18_auto,32768,36622,300007424,709273328,6888,6888,1556801779,412511360,1556801752,709303145,709303145,1
r05-o23-gcc13_auto-1048576,5,gcc13_auto,1048576,153,40108032,655313993,220523,220523,1438364036,160432411,1438364070,655342816,655342816,1
r05-o24-clang18_scalar-36864,5,clang18_scalar,36864,21702,200005632,551093247,8675,8675,1209609132,275008896,1209609170,551121263,551121263,1
r05-o25-gcc13_auto-536870912,5,gcc13_auto,536870912,1,134217728,13114400264,10873113,10873113,28785024209,536871195,28785024180,13114435593,13114435593,1
r05-o26-clang18_auto-36864,5,clang18_auto,36864,21702,200005632,550542296,8675,8675,1208400621,275008896,1208400600,550570516,550570516,1
r05-o27-clang18_scalar-536870912,5,clang18_scalar,536870912,1,134217728,13120567944,10873113,10873113,28798564215,184550528,28798564212,13120602920,13120602920,1
r05-o28-clang18_scalar-1048576,5,clang18_scalar,1048576,153,40108032,657625542,220523,220523,1443438968,55149696,1443438964,657654254,657654254,1
r06-o01-gcc13_auto-262144,6,gcc13_auto,262144,1221,80019456,551318447,63890,63890,1210102184,320078107,1210102168,551344815,551344815,1
r06-o02-clang18_scalar-1048576,6,clang18_scalar,1048576,153,40108032,657323038,220523,220523,1442775501,55149696,1442775532,657351942,657351942,1
r06-o03-clang18_scalar-536870912,6,clang18_scalar,536870912,1,134217728,13180582175,10873113,10873113,28930290230,184550528,28930290246,13180615786,13180615786,1
r06-o04-clang18_auto-8388608,6,clang18_auto,8388608,8,16777216,796711327,688651,688651,1748722839,23069824,1748722844,796747123,796747123,1
r06-o05-gcc13_auto-536870912,6,gcc13_auto,536870912,1,134217728,13144512254,10873113,10873113,28851116817,536871195,28851116778,13144547259,13144547259,1
r06-o06-gcc13_scalar-262144,6,gcc13_scalar,262144,1221,80019456,453833160,63890,63890,996129495,320078107,996129508,453860325,453860325,1
r06-o07-clang18_auto-32768,6,clang18_auto,32768,36622,300007424,702323783,6888,6888,1541548373,412511360,1541548360,702351339,702351339,1
r06-o08-gcc13_auto-8388608,6,gcc13_auto,8388608,8,16777216,767005906,688651,688651,1683519265,67109147,1683519244,767040837,767040837,1
