round,mode,implementation,state,perf_profile,footprint_bytes,seed
4,prefetch_chain,scalar,cache_evicted,branch,1048576,28401
4,prefetch_chain,scalar,warm,basic,536870912,24305
4,prefetch_chain,scalar,warm,branch,2097152,24305
4,prefetch_chain,scalar,warm,basic,49152,24305
4,prefetch_chain,scalar,cache_evicted,branch,6291456,28401
4,prefetch_chain,scalar,warm,branch,6291456,24305
4,prefetch_chain,scalar,cache_evicted,branch,262144,28401
4,prefetch_chain,scalar,warm,branch,36864,24305
4,prefetch_chain,scalar,cache_evicted,basic,8388608,28401
4,prefetch_chain,scalar,warm,branch,49152,24305
4,prefetch_chain,scalar,warm,basic,262144,24305
4,prefetch_chain,scalar,warm,basic,229376,24305
4,prefetch_chain,scalar,warm,branch,131072,24305
4,prefetch_chain,scalar,warm,branch,16384,24305
4,prefetch_chain,scalar,warm,basic,33554432,24305
4,prefetch_chain,scalar,warm,basic,24576,24305
4,prefetch_chain,scalar,warm,branch,8192,24305
4,prefetch_chain,scalar,cache_evicted,basic,32768,28401
4,prefetch_chain,scalar,warm,basic,196608,24305
4,prefetch_chain,scalar,cache_evicted,basic,33554432,28401
4,prefetch_chain,scalar,warm,basic,8192,24305
4,prefetch_chain,scalar,warm,basic,6291456,24305
4,prefetch_chain,scalar,warm,branch,1048576,24305
4,prefetch_chain,scalar,cache_evicted,basic,262144,28401
4,prefetch_chain,scalar,warm,branch,8388608,24305
4,prefetch_chain,scalar,warm,branch,262144,24305
4,prefetch_chain,scalar,cache_evicted,branch,33554432,28401
4,prefetch_chain,scalar,warm,basic,2097152,24305
4,prefetch_chain,scalar,warm,basic,393216,24305
4,prefetch_chain,scalar,warm,branch,65536,24305
4,prefetch_chain,scalar,warm,basic,12582912,24305
4,prefetch_chain,scalar,warm,basic,5242880,24305
4,prefetch_chain,scalar,warm,basic,32768,24305
4,prefetch_chain,scalar,cache_evicted,basic,1048576,28401
4,prefetch_chain,scalar,cache_evicted,basic,6291456,28401
4,prefetch_chain,scalar,warm,branch,393216,24305
4,prefetch_chain,scalar,warm,branch,196608,24305
4,prefetch_chain,scalar,warm,branch,28672,24305
4,prefetch_chain,scalar,warm,basic,8388608,24305
4,prefetch_chain,scalar,warm,basic,1048576,24305
4,prefetch_chain,scalar,warm,branch,98304,24305
5,prefetch_chain,scalar,warm,basic,393216,24306
5,prefetch_chain,scalar,warm,basic,131072,24306
5,prefetch_chain,scalar,warm,branch,2097152,24306
5,prefetch_chain,scalar,warm,basic,229376,24306
5,prefetch_chain,scalar,warm,basic,4194304,24306
5,prefetch_chain,scalar,warm,basic,134217728,24306
5,prefetch_chain,scalar,warm,basic,16384,24306
5,prefetch_chain,scalar,warm,branch,12582912,24306
5,prefetch_chain,scalar,warm,basic,536870912,24306
5,prefetch_chain,scalar,cache_evicted,basic,1048576,28402
5,prefetch_chain,scalar,warm,basic,98304,24306
5,prefetch_chain,scalar,warm,basic,32768,24306
5,prefetch_chain,scalar,cache_evicted,branch,8388608,28402
5,prefetch_chain,scalar,warm,branch,32768,24306
5,prefetch_chain,scalar,cache_evicted,branch,262144,28402
5,prefetch_chain,scalar,warm,basic,262144,24306
5,prefetch_chain,scalar,warm,branch,36864,24306
5,prefetch_chain,scalar,warm,basic,196608,24306
5,prefetch_chain,scalar,warm,basic,8388608,24306
5,prefetch_chain,scalar,warm,branch,131072,24306
5,prefetch_chain,scalar,cache_evicted,basic,8388608,28402
5,prefetch_chain,scalar,warm,branch,294912,24306
5,prefetch_chain,scalar,cache_evicted,basic,262144,28402
5,prefetch_chain,scalar,warm,branch,262144,24306
5,prefetch_chain,scalar,warm,basic,8192,24306
5,prefetch_chain,scalar,warm,branch,196608,24306
5,prefetch_chain,scalar,cache_evicted,basic,536870912,28402
5,prefetch_chain,scalar,warm,basic,28672,24306
5,prefetch_chain,scalar,warm,basic,524288,24306
5,prefetch_chain,scalar,warm,basic,5242880,24306
5,prefetch_chain,scalar,warm,branch,65536,24306
5,prefetch_chain,scalar,warm,branch,536870912,24306
5,prefetch_chain,scalar,cache_evicted,branch,32768,28402
5,prefetch_chain,scalar,cache_evicted,branch,33554432,28402
5,prefetch_chain,scalar,warm,branch,49152,24306
5,prefetch_chain,scalar,cache_evicted,branch,536870912,28402
5,prefetch_chain,scalar,warm,branch,98304,24306
5,prefetch_chain,scalar,warm,basic,36864,24306
5,prefetch_chain,scalar,warm,branch,6291456,24306
5,prefetch_chain,scalar,warm,branch,4194304,24306
5,prefetch_chain,scalar,warm,branch,33554432,24306
5,prefetch_chain,scalar,warm,branch,7340032,24306
5,prefetch_chain,scalar,warm,branch,8388608,24306
5,prefetch_chain,scalar,warm,basic,49152,24306
5,prefetch_chain,scalar,warm,branch,229376,24306
5,prefetch_chain,scalar,warm,branch,28672,24306
5,prefetch_chain,scalar,cache_evicted,branch,1048576,28402
5,prefetch_chain,scalar,warm,branch,393216,24306
5,prefetch_chain,scalar,warm,basic,294912,24306
5,prefetch_chain,scalar,cache_evicted,branch,6291456,28402
5,prefetch_chain,scalar,warm,basic,2097152,24306
5,prefetch_chain,scalar,warm,branch,16384,24306
5,prefetch_chain,scalar,warm,basic,65536,24306
5,prefetch_chain,scalar,cache_evicted,basic,6291456,28402
5,prefetch_chain,scalar,warm,basic,33554432,24306
5,prefetch_chain,scalar,warm,basic,7340032,24306
5,prefetch_chain,scalar,warm,branch,5242880,24306
5,prefetch_chain,scalar,cache_evicted,basic,33554432,28402
5,prefetch_chain,scalar,warm,basic,12582912,24306
5,prefetch_chain,scalar,warm,branch,134217728,24306
5,prefetch_chain,scalar,cache_evicted,basic,32768,28402
5,prefetch_chain,scalar,warm,branch,1048576,24306
5,prefetch_chain,scalar,warm,branch,524288,24306
5,prefetch_chain,scalar,warm,basic,6291456,24306
5,prefetch_chain,scalar,warm,basic,1048576,24306
5,prefetch_chain,scalar,warm,basic,24576,24306
5,prefetch_chain,scalar,warm,branch,24576,24306
5,prefetch_chain,scalar,warm,branch,8192,24306
6,prefetch_chain,scalar,cache_evicted,basic,6291456,28403
6,prefetch_chain,scalar,warm,branch,24576,24307
6,prefetch_chain,scalar,warm,basic,131072,24307
6,prefetch_chain,scalar,warm,basic,6291456,24307
6,prefetch_chain,scalar,warm,branch,32768,24307
6,prefetch_chain,scalar,cache_evicted,basic,8388608,28403
6,prefetch_chain,scalar,warm,branch,49152,24307
6,prefetch_chain,scalar,cache_evicted,branch,33554432,28403
6,prefetch_chain,scalar,warm,basic,134217728,24307
6,prefetch_chain,scalar,warm,basic,7340032,24307
6,prefetch_chain,scalar,cache_evicted,branch,6291456,28403
6,prefetch_chain,scalar,warm,branch,8388608,24307
