sample_id,round,variant,footprint_bytes,passes,operations,elapsed_ns,checksum,expected_checksum,pmu_cycles,pmu_instructions,pmu_ref_cycles,pmu_time_enabled,pmu_time_running,pmu_available
r08-o01-gcc13_lane1-1048576,8,gcc13_lane1,1048576,1221,20004864,418251199,43272497840938563,43272497840938563,918032183,180044059,918032170,418283717,418283717,1
r08-o02-gcc13_lane1-536870912,8,gcc13_lane1,536870912,1,8388608,846825224,18012249170480756,18012249170480756,1858715864,75497755,1858715870,846858007,846858007,1
r08-o03-gcc13_lane1-32768,8,gcc13_lane1,32768,195313,100000256,367009191,221271359518073939,221271359518073939,805558734,900002587,805558710,367038140,367038140,1
r08-o04-gcc13_lane1-8388608,8,gcc13_lane1,8388608,62,8126464,441028205,17462239205602153,17462239205602153,968025200,73138459,968025190,441061323,441061323,1
r08-o05-gcc13_lane8-1048576,8,gcc13_lane8,1048576,15259,250003456,691953051,540782577536582989,540782577536582989,1518783722,1937527103,1518783728,691981418,691981418,1
r08-o06-gcc13_lane8-36864,8,gcc13_lane8,36864,607639,350000064,410306969,774878977565100034,774878977565100034,900593299,2712500815,900593298,410334872,410334872,1
r08-o07-gcc13_lane1-6291456,8,gcc13_lane1,6291456,102,10027008,616197974,21549733755203228,21549733755203228,1352508381,90243355,1352508366,616229964,616229964,1
r08-o08-gcc13_lane8-6291456,8,gcc13_lane8,6291456,1221,120029184,956905536,257963754663396029,257963754663396029,2100332285,930226495,2100332300,956937688,956937688,1
r08-o09-gcc13_lane1-36864,8,gcc13_lane1,36864,173612,100000512,724189322,221395076082124221,221395076082124221,1589539272,900004891,1589539270,724216963,724216963,1
r08-o10-gcc13_lane8-8388608,8,gcc13_lane8,8388608,916,120061952,716896163,257992015106286337,257992015106286337,1573532506,930480447,1573532510,716931158,716931158,1
r08-o11-gcc13_lane8-262144,8,gcc13_lane8,262144,85450,350003200,695953858,756379970254730359,756379970254730359,1527565333,2712525119,1527565358,695981442,695981442,1
r08-o12-gcc13_lane1-262144,8,gcc13_lane1,262144,9766,40001536,629070648,86445885965269521,86445885965269521,1380762427,360014107,1380762416,629099963,629099963,1
r08-o13-gcc13_lane8-32768,8,gcc13_lane8,32768,683594,350000128,341182429,774447998133594241,774447998133594241,748871228,2712501311,748871200,341212622,341212622,1
r08-o14-gcc13_lane8-536870912,8,gcc13_lane8,536870912,3,25165824,440607675,54016160691990295,54016160691990295,967102017,195035455,967102026,440643310,440643310,1
r09-o01-gcc13_lane8-536870912,9,gcc13_lane8,536870912,3,25165824,324991857,54016160691990295,54016160691990295,713335044,195035455,713335062,325025919,325025919,1
r09-o02-gcc13_lane8-32768,9,gcc13_lane8,32768,683594,350000128,344290882,774447998133594241,774447998133594241,755694156,2712501311,755694170,344321529,344321529,1
r09-o03-gcc13_lane1-6291456,9,gcc13_lane1,6291456,102,10027008,471771211,21549733755203228,21549733755203228,1035503682,90243355,1035503678,471805110,471805110,1
r09-o04-gcc13_lane8-1048576,9,gcc13_lane8,1048576,15259,250003456,692474381,540782577536582989,540782577536582989,1519927666,1937527103,1519927684,692504178,692504178,1
r09-o05-gcc13_lane1-536870912,9,gcc13_lane1,536870912,1,8388608,846880522,18012249170480756,18012249170480756,1858836927,75497755,1858836914,846914111,846914111,1
r09-o06-gcc13_lane1-36864,9,gcc13_lane1,36864,173612,100000512,722596607,221395076082124221,221395076082124221,1586043763,900004891,1586043778,722625533,722625533,1
r09-o07-gcc13_lane1-8388608,9,gcc13_lane1,8388608,62,8126464,586807117,17462239205602153,17462239205602153,1287985611,73138460,1287985644,586838969,586838969,1
r09-o08-gcc13_lane8-262144,9,gcc13_lane8,262144,85450,350003200,480184755,756379970254730359,756379970254730359,1053969529,2712525119,1053969510,480216099,480216099,1
r09-o09-gcc13_lane8-8388608,9,gcc13_lane8,8388608,916,120061952,836634427,257992015106286337,257992015106286337,1836347968,930480447,1836347986,836667934,836667934,1
r09-o10-gcc13_lane1-32768,9,gcc13_lane1,32768,195313,100000256,366092917,221271359518073939,221271359518073939,803547609,900002587,803547624,366120332,366120332,1
r09-o11-gcc13_lane1-262144,9,gcc13_lane1,262144,9766,40001536,424228199,86445885965269521,86445885965269521,931150327,360014107,931150352,424259416,424259416,1
r09-o12-gcc13_lane8-6291456,9,gcc13_lane8,6291456,1221,120029184,1021637077,257963754663396029,257963754663396029,2242412775,930226495,2242412788,1021668704,1021668704,1
r09-o13-gcc13_lane8-36864,9,gcc13_lane8,36864,607639,350000064,410238683,774878977565100034,774878977565100034,900444123,2712500815,900444116,410267537,410267537,1
r09-o14-gcc13_lane1-1048576,9,gcc13_lane1,1048576,1221,20004864,418205484,43272497840938563,43272497840938563,917930973,180044059,917930970,418237251,418237251,1
r10-o01-gcc13_lane8-6291456,10,gcc13_lane8,6291456,1221,120029184,955140155,257963754663396029,257963754663396029,2096457767,930226495,2096457770,955173977,955173977,1
r10-o02-gcc13_lane1-6291456,10,gcc13_lane1,6291456,102,10027008,436939401,21549733755203228,21549733755203228,959050346,90243355,959050334,436971686,436971686,1
r10-o03-gcc13_lane8-536870912,10,gcc13_lane8,536870912,3,25165824,317524808,54016160691990295,54016160691990295,696945241,195035455,696945238,317558415,317558415,1
r10-o04-gcc13_lane8-1048576,10,gcc13_lane8,1048576,15259,250003456,690271087,540782577536582989,540782577536582989,1515092055,1937527103,1515092062,690300641,690300641,1
r10-o05-gcc13_lane8-36864,10,gcc13_lane8,36864,607639,350000064,407075790,774878977565100034,774878977565100034,893501121,2712500815,893501136,407103365,407103365,1
r10-o06-gcc13_lane8-32768,10,gcc13_lane8,32768,683594,350000128,338886557,774447998133594241,774447998133594241,743832511,2712501311,743832518,338917826,338917826,1
r10-o07-gcc13_lane1-36864,10,gcc13_lane1,36864,173612,100000512,722795287,221395076082124221,221395076082124221,1586479712,900004891,1586479730,722824210,722824210,1
r10-o08-gcc13_lane8-262144,10,gcc13_lane8,262144,85450,350003200,686356916,756379970254730359,756379970254730359,1506500771,2712525119,1506500776,686387587,686387587,1
r10-o09-gcc13_lane8-8388608,10,gcc13_lane8,8388608,916,120061952,933789703,257992015106286337,257992015106286337,2049595013,930480447,2049595020,933823159,933823159,1
r10-o10-gcc13_lane1-262144,10,gcc13_lane1,262144,9766,40001536,539773160,86445885965269521,86445885965269521,1184761227,360014107,1184761226,539802287,539802287,1
r10-o11-gcc13_lane1-536870912,10,gcc13_lane1,536870912,1,8388608,834384292,18012249170480756,18012249170480756,1831409105,75497755,1831409096,834416775,834416775,1
r10-o12-gcc13_lane1-8388608,10,gcc13_lane1,8388608,62,8126464,431952817,17462239205602153,17462239205602153,948105258,73138459,948105268,431984916,431984916,1
r10-o13-gcc13_lane1-1048576,10,gcc13_lane1,1048576,1221,20004864,419027333,43272497840938563,43272497840938563,919734539,180044059,919734552,419057757,419057757,1
r10-o14-gcc13_lane1-32768,10,gcc13_lane1,32768,195313,100000256,375983183,221271359518073939,221271359518073939,825256653,900002587,825256696,376014894,376014894,1
