sample_id,round,variant,footprint_bytes,passes,operations,elapsed_ns,checksum,expected_checksum,pmu_cycles,pmu_instructions,pmu_ref_cycles,pmu_time_enabled,pmu_time_running,pmu_available
r05-o07-gcc13_no_prefetch-6291456,5,gcc13_no_prefetch,6291456,102,10027008,787542533,21549733755203228,21549733755203228,1728595054,90243355,1728595044,787575317,787575317,1
r05-o08-gcc13_no_prefetch-262144,5,gcc13_no_prefetch,262144,9766,40001536,580228125,86445885965269521,86445885965269521,1273556222,360014107,1273556196,580256756,580256756,1
r05-o09-gcc13_prefetch-262144,5,gcc13_prefetch,262144,9766,40001536,456666280,86445885965269521,86445885965269521,1002348376,480018715,1002348358,456693526,456693526,1
r05-o10-gcc13_prefetch-8388608,5,gcc13_prefetch,8388608,62,8126464,686088696,17462239205602153,17462239205602153,1505911318,97517851,1505911330,686118686,686118686,1
r05-o11-gcc13_no_prefetch-32768,5,gcc13_no_prefetch,32768,195313,100000256,390914318,221271359518073939,221271359518073939,858028346,900002587,858028358,390942214,390942214,1
r05-o12-gcc13_no_prefetch-36864,5,gcc13_no_prefetch,36864,173612,100000512,723463108,221395076082124221,221395076082124221,1587945093,900004891,1587945084,723490000,723490000,1
r05-o13-gcc13_no_prefetch-536870912,5,gcc13_no_prefetch,536870912,1,8388608,839954553,18012249170480756,18012249170480756,1843634848,75497755,1843634870,839986641,839986641,1
r05-o14-gcc13_prefetch-6291456,5,gcc13_prefetch,6291456,102,10027008,473634132,21549733755203228,21549733755203228,1039592322,120324379,1039592312,473665299,473665299,1
r06-o01-gcc13_no_prefetch-36864,6,gcc13_no_prefetch,36864,173612,100000512,723121313,221395076082124221,221395076082124221,1587194898,900004891,1587194906,723147752,723147752,1
r06-o02-gcc13_prefetch-1048576,6,gcc13_prefetch,1048576,1221,20004864,422665324,43272497840938563,43272497840938563,927718999,240058651,927719034,422692583,422692583,1
r06-o03-gcc13_no_prefetch-1048576,6,gcc13_no_prefetch,1048576,1221,20004864,419244539,43272497840938563,43272497840938563,920210589,180044059,920210566,419271708,419271708,1
r06-o04-gcc13_prefetch-36864,6,gcc13_prefetch,36864,173612,100000512,875277124,221395076082124221,221395076082124221,1921164229,1200006427,1921164234,875305147,875305147,1
r06-o05-gcc13_no_prefetch-8388608,6,gcc13_no_prefetch,8388608,62,8126464,464126834,17462239205602153,17462239205602153,1018723669,73138459,1018723640,464156558,464156558,1
r06-o06-gcc13_prefetch-536870912,6,gcc13_prefetch,536870912,1,8388608,899016061,18012249170480756,18012249170480756,1973270452,100663579,1973270442,899050533,899050533,1
r06-o07-gcc13_no_prefetch-262144,6,gcc13_no_prefetch,262144,9766,40001536,294884251,86445885965269521,86445885965269521,647250158,360014107,647250142,294911445,294911445,1
r06-o08-gcc13_prefetch-32768,6,gcc13_prefetch,32768,195313,100000256,340721763,221271359518073939,221271359518073939,747859602,1200003355,747859574,340749227,340749227,1
r06-o09-gcc13_prefetch-6291456,6,gcc13_prefetch,6291456,102,10027008,474248113,21549733755203228,21549733755203228,1040939365,120324379,1040939394,474279194,474279194,1
r06-o10-gcc13_prefetch-262144,6,gcc13_prefetch,262144,9766,40001536,411910492,86445885965269521,86445885965269521,904112974,480018715,904112968,411937245,411937245,1
r06-o11-gcc13_no_prefetch-536870912,6,gcc13_no_prefetch,536870912,1,8388608,844671883,18012249170480756,18012249170480756,1853989334,75497755,1853989324,844705796,844705796,1
r06-o12-gcc13_no_prefetch-6291456,6,gcc13_no_prefetch,6291456,102,10027008,453291609,21549733755203228,21549733755203228,994940893,90243355,994940892,453320436,453320436,1
r06-o13-gcc13_prefetch-8388608,6,gcc13_prefetch,8388608,62,8126464,472849539,17462239205602153,17462239205602153,1037869375,97517851,1037869382,472879064,472879064,1
r06-o14-gcc13_no_prefetch-32768,6,gcc13_no_prefetch,32768,195313,100000256,366885680,221271359518073939,221271359518073939,805287060,900002587,805287032,366912190,366912190,1
r07-o01-gcc13_prefetch-8388608,7,gcc13_prefetch,8388608,62,8126464,563823701,17462239205602153,17462239205602153,1237550073,97517851,1237550072,563852608,563852608,1
r07-o02-gcc13_no_prefetch-6291456,7,gcc13_no_prefetch,6291456,102,10027008,442468570,21549733755203228,21549733755203228,971185742,90243355,971185710,442499148,442499148,1
r07-o03-gcc13_prefetch-1048576,7,gcc13_prefetch,1048576,1221,20004864,419968922,43272497840938563,43272497840938563,921800852,240058651,921800880,419997235,419997235,1
r07-o04-gcc13_no_prefetch-1048576,7,gcc13_no_prefetch,1048576,1221,20004864,420022147,43272497840938563,43272497840938563,921917341,180044059,921917348,420049015,420049015,1
r07-o05-gcc13_no_prefetch-32768,7,gcc13_no_prefetch,32768,195313,100000256,366590578,221271359518073939,221271359518073939,804639453,900002587,804639462,366617256,366617256,1
r07-o06-gcc13_prefetch-36864,7,gcc13_prefetch,36864,173612,100000512,875256957,221395076082124221,221395076082124221,1921119980,1200006427,1921120014,875283270,875283270,1
r07-o07-gcc13_no_prefetch-8388608,7,gcc13_no_prefetch,8388608,62,8126464,459274812,17462239205602153,17462239205602153,1008073877,73138459,1008073902,459304517,459304517,1
r07-o08-gcc13_prefetch-6291456,7,gcc13_prefetch,6291456,102,10027008,452147850,21549733755203228,21549733755203228,992430655,120324379,992430626,452177716,452177716,1
r07-o09-gcc13_no_prefetch-262144,7,gcc13_no_prefetch,262144,9766,40001536,420437220,86445885965269521,86445885965269521,922828493,360014107,922828478,420464144,420464144,1
r07-o10-gcc13_prefetch-262144,7,gcc13_prefetch,262144,9766,40001536,459811665,86445885965269521,86445885965269521,1009252185,480018715,1009252134,459838226,459838226,1
r07-o11-gcc13_no_prefetch-36864,7,gcc13_no_prefetch,36864,173612,100000512,720387424,221395076082124221,221395076082124221,1581194194,900004891,1581194208,720414508,720414508,1
r07-o12-gcc13_prefetch-536870912,7,gcc13_prefetch,536870912,1,8388608,910673368,18012249170480756,18012249170480756,1998857593,100663579,1998857564,910706274,910706274,1
r07-o13-gcc13_no_prefetch-536870912,7,gcc13_no_prefetch,536870912,1,8388608,832538087,18012249170480756,18012249170480756,1827356390,75497755,1827356388,832571644,832571644,1
r07-o14-gcc13_prefetch-32768,7,gcc13_prefetch,32768,195313,100000256,340587677,221271359518073939,221271359518073939,747565317,1200003355,747565324,340615336,340615336,1
r08-o01-gcc13_prefetch-1048576,8,gcc13_prefetch,1048576,1221,20004864,415951700,43272497840938563,43272497840938563,912983565,240058651,912983566,415979447,415979447,1
r08-o02-gcc13_prefetch-536870912,8,gcc13_prefetch,536870912,1,8388608,903053057,18012249170480756,18012249170480756,1982131334,100663579,1982131360,903086799,903086799,1
r08-o03-gcc13_prefetch-32768,8,gcc13_prefetch,32768,195313,100000256,340365872,221271359518073939,221271359518073939,747078701,1200003355,747078706,340393571,340393571,1
r08-o04-gcc13_prefetch-8388608,8,gcc13_prefetch,8388608,62,8126464,472012656,17462239205602153,17462239205602153,1036032424,97517851,1036032404,472041940,472041940,1
r08-o05-gcc13_no_prefetch-1048576,8,gcc13_no_prefetch,1048576,1221,20004864,422895652,43272497840938563,43272497840938563,928224716,180044059,928224726,422923623,422923623,1
r08-o06-gcc13_no_prefetch-36864,8,gcc13_no_prefetch,36864,173612,100000512,721915984,221395076082124221,221395076082124221,1584549570,900004891,1584549560,721943462,721943462,1
r08-o07-gcc13_prefetch-6291456,8,gcc13_prefetch,6291456,102,10027008,606893359,21549733755203228,21549733755203228,1332084316,120324379,1332084336,606922363,606922363,1
r08-o08-gcc13_no_prefetch-6291456,8,gcc13_no_prefetch,6291456,102,10027008,472157750,21549733755203228,21549733755203228,1036351036,90243355,1036351030,472187750,472187750,1
r08-o09-gcc13_prefetch-36864,8,gcc13_prefetch,36864,173612,100000512,875202819,221395076082124221,221395076082124221,1921001110,1200006427,1921001126,875230166,875230166,1
r08-o10-gcc13_no_prefetch-8388608,8,gcc13_no_prefetch,8388608,62,8126464,509501664,17462239205602153,17462239205602153,1118317620,73138459,1118317618,509530651,509530651,1
r08-o11-gcc13_no_prefetch-262144,8,gcc13_no_prefetch,262144,9766,40001536,376568973,86445885965269521,86445885965269521,826541951,360014107,826541936,376597019,376597019,1
r08-o12-gcc13_prefetch-262144,8,gcc13_prefetch,262144,9766,40001536,458502295,86445885965269521,86445885965269521,1006378124,480018715,1006378098,458529144,458529144,1
r08-o13-gcc13_no_prefetch-32768,8,gcc13_no_prefetch,32768,195313,100000256,366860688,221271359518073939,221271359518073939,805232297,900002587,805232274,366886883,366886883,1
r08-o14-gcc13_no_prefetch-536870912,8,gcc13_no_prefetch,536870912,1,8388608,844924150,18012249170480756,18012249170480756,1854542969,75497755,1854542976,844957465,844957465,1
r09-o01-gcc13_no_prefetch-536870912,9,gcc13_no_prefetch,536870912,1,8388608,842806771,18012249170480756,18012249170480756,1849895153,75497755,1849895146,842838141,842838141,1
r09-o02-gcc13_no_prefetch-32768,9,gcc13_no_prefetch,32768,195313,100000256,366321675,221271359518073939,221271359518073939,804048953,900002587,804048960,366348271,366348271,1
r09-o03-gcc13_prefetch-6291456,9,gcc13_prefetch,6291456,102,10027008,484784748,21549733755203228,21549733755203228,1064066156,120324379,1064066168,484814985,484814985,1
r09-o04-gcc13_no_prefetch-1048576,9,gcc13_no_prefetch,1048576,1221,20004864,422806732,43272497840938563,43272497840938563,928029450,180044059,928029454,422833944,422833944,1
r09-o05-gcc13_prefetch-536870912,9,gcc13_prefetch,536870912,1,8388608,904965946,18012249170480756,18012249170480756,1986329126,100663579,1986329136,904997286,904997286,1
r09-o06-gcc13_prefetch-36864,9,gcc13_prefetch,36864,173612,100000512,875217231,221395076082124221,221395076082124221,1921032648,1200006427,1921032608,875244380,875244380,1
r09-o07-gcc13_prefetch-8388608,9,gcc13_prefetch,8388608,62,8126464,586295887,17462239205602153,17462239205602153,1286874544,97517851,1286874534,586325008,586325008,1
r09-o08-gcc13_no_prefetch-262144,9,gcc13_no_prefetch,262144,9766,40001536,461151737,86445885965269521,86445885965269521,1012193368,360014107,1012193402,461179452,461179452,1
r09-o09-gcc13_no_prefetch-8388608,9,gcc13_no_prefetch,8388608,62,8126464,466075048,17462239205602153,17462239205602153,1023000056,73138459,1023000044,466104626,466104626,1
r09-o10-gcc13_prefetch-32768,9,gcc13_prefetch,32768,195313,100000256,339985778,221271359518073939,221271359518073939,746244104,1200003355,746244136,340012568,340012568,1
r09-o11-gcc13_prefetch-262144,9,gcc13_prefetch,262144,9766,40001536,443635314,86445885965269521,86445885965269521,973746440,480018715,973746422,443662462,443662462,1
r09-o12-gcc13_no_prefetch-6291456,9,gcc13_no_prefetch,6291456,102,10027008,559001207,21549733755203228,21549733755203228,1226965026,90243355,1226965058,559030557,559030557,1
r09-o13-gcc13_no_prefetch-36864,9,gcc13_no_prefetch,36864,173612,100000512,722658987,221395076082124221,221395076082124221,1586180038,900004891,1586180024,722686445,722686445,1
r09-o14-gcc13_prefetch-1048576,9,gcc13_prefetch,1048576,1221,20004864,421750187,43272497840938563,43272497840938563,925710458,240058651,925710456,421776863,421776863,1
r10-o01-gcc13_no_prefetch-6291456,10,gcc13_no_prefetch,6291456,102,10027008,440222228,21549733755203228,21549733755203228,966255290,90243355,966255290,440251532,440251532,1
r10-o02-gcc13_prefetch-6291456,10,gcc13_prefetch,6291456,102,10027008,576726916,21549733755203228,21549733755203228,1265871459,120324379,1265871464,576756837,576756837,1
r10-o03-gcc13_no_prefetch-536870912,10,gcc13_no_prefetch,536870912,1,8388608,833254091,18012249170480756,18012249170480756,1828928154,75497755,1828928112,833286134,833286134,1
r10-o04-gcc13_no_prefetch-1048576,10,gcc13_no_prefetch,1048576,1221,20004864,423475143,43272497840938563,43272497840938563,929496558,180044059,929496568,423502861,423502861,1
r10-o05-gcc13_no_prefetch-36864,10,gcc13_no_prefetch,36864,173612,100000512,723975660,221395076082124221,221395076082124221,1589070041,900004891,1589070032,724002914,724002914,1
r10-o06-gcc13_no_prefetch-32768,10,gcc13_no_prefetch,32768,195313,100000256,366736780,221271359518073939,221271359518073939,804960206,900002587,804960200,366762665,366762665,1
r10-o07-gcc13_prefetch-36864,10,gcc13_prefetch,36864,173612,100000512,875245940,221395076082124221,221395076082124221,1921095919,1200006427,1921095902,875273164,875273164,1
r10-o08-gcc13_no_prefetch-262144,10,gcc13_no_prefetch,262144,9766,40001536,373827626,86445885965269521,86445885965269521,820524316,360014107,820524320,373854377,373854377,1
r10-o09-gcc13_no_prefetch-8388608,10,gcc13_no_prefetch,8388608,62,8126464,465562035,17462239205602153,17462239205602153,1021874154,73138459,1021874128,465591707,465591707,1
r10-o10-gcc13_prefetch-262144,10,gcc13_prefetch,262144,9766,40001536,410809127,86445885965269521,86445885965269521,901695701,480018715,901695696,410835575,410835575,1
r10-o11-gcc13_prefetch-536870912,10,gcc13_prefetch,536870912,1,8388608,907011521,18012249170480756,18012249170480756,1990819181,100663579,1990819182,907043883,907043883,1
r10-o12-gcc13_prefetch-8388608,10,gcc13_prefetch,8388608,62,8126464,473949477,17462239205602153,17462239205602153,1040283431,97517851,1040283420,473979242,473979242,1
r10-o13-gcc13_prefetch-1048576,10,gcc13_prefetch,1048576,1221,20004864,419952633,43272497840938563,43272497840938563,921765033,240058651,921765064,419980083,419980083,1
r10-o14-gcc13_prefetch-32768,10,gcc13_prefetch,32768,195313,100000256,339961318,221271359518073939,221271359518073939,746190387,1200003355,746190368,339987446,339987446,1
r11-o01-gcc13_prefetch-8388608,11,gcc13_prefetch,8388608,62,8126464,564512817,17462239205602153,17462239205602153,1239062574,97517851,1239062594,564541934,564541934,1
r11-o02-gcc13_prefetch-6291456,11,gcc13_prefetch,6291456,102,10027008,478712447,21549733755203228,21549733755203228,1050737908,120324379,1050737908,478741919,478741919,1
r11-o03-gcc13_prefetch-536870912,11,gcc13_prefetch,536870912,1,8388608,909623346,18012249170480756,18012249170480756,1996551815,100663579,1996551788,909656574,909656574,1
r11-o04-gcc13_no_prefetch-536870912,11,gcc13_no_prefetch,536870912,1,8388608,831897031,18012249170480756,18012249170480756,1825949322,75497755,1825949378,831929298,831929298,1
r11-o05-gcc13_prefetch-32768,11,gcc13_prefetch,32768,195313,100000256,340913189,221271359518073939,221271359518073939,748279786,1200003355,748279774,340940737,340940737,1
r11-o06-gcc13_no_prefetch-6291456,11,gcc13_no_prefetch,6291456,102,10027008,441460099,21549733755203228,21549733755203228,968972112,90243355,968972114,441490104,441490104,1
r11-o07-gcc13_no_prefetch-1048576,11,gcc13_no_prefetch,1048576,1221,20004864,421780063,43272497840938563,43272497840938563,925775756,180044059,925775774,421807199,421807199,1
