mode,state,perf_profile,round,repetition,iterations,target_instructions_per_iteration,dynamic_target_instructions,tsc_ticks,wall_ns,cpu_before,cpu_after,minor_faults,major_faults,checksum,cycles,cycles_enabled,cycles_running,instructions,instructions_enabled,instructions_running,ref_cycles,ref_cycles_enabled,ref_cycles_running,branches,branches_enabled,branches_running,branch_misses,branch_misses_enabled,branch_misses_running,uops_issued_any,uops_issued_any_enabled,uops_issued_any_running,uops_retired_all,uops_retired_all_enabled,uops_retired_all_running,port0_active_cycles,port0_active_cycles_enabled,port0_active_cycles_running,port1_active_cycles,port1_active_cycles_enabled,port1_active_cycles_running,port5_active_cycles,port5_active_cycles_enabled,port5_active_cycles_running
and_zero_control,warm,basic,2,0,1000000000,3,3000000000,3550331033,1617524526,4,4,0,0,1,5015998460,1617552152,1617552152,5000000676,1617551246,1617551246,3468217522,1617549349,1617549349,1000000272,1617547650,1617547650,30,1617545294,1617545294,,,,,,,,,,,,,,,
xor_break,warm,basic,2,0,1000000000,3,3000000000,707014768,322114747,4,4,0,0,1,1003244378,322136448,322136448,5000000674,322135011,322135011,691009528,322134189,322134189,1000000272,322132843,322132843,24,322130885,322130885,,,,,,,,,,,,,,,
page_state_probe,page_cold,basic,2,0,1,0,0,2239122,1020319,4,4,1027,0,0,750075,1053222,1053222,7866,1049736,1049736,518078,1047883,1047883,2329,1045955,1045955,58,1043373,1043373,,,,,,,,,,,,,,,
page_state_probe,warm,basic,2,0,1,0,0,28950,13333,4,4,3,0,130560,47041,44316,44316,6842,42604,42604,33286,40647,40647,1305,38574,38574,58,35884,35884,,,,,,,,,,,,,,,
add_latency,warm,basic,2,0,1000000000,1,1000000000,707425360,322301931,4,4,0,0,3000000001,1003337078,322322830,322322830,3000000674,322323658,322323658,691189312,322323027,322323027,1000000272,322322018,322322018,26,322320047,322320047,,,,,,,,,,,,,,,
add_latency,warm,expanded,2,0,1000000000,1,1000000000,738059986,336259140,4,4,0,0,3000000001,505176236,336337760,166344031,1785019312,336337272,200337315,498929310,336336266,234332750,696385319,336325425,234523668,198,336322981,235507531,1407492240,336319745,236502113,1414718356,336315684,237311965,132853908,336300172,134815197,132840990,336294877,133827129,132524600,336289894,132821042
shift_throughput,warm,basic,2,0,1000000000,8,8000000000,3194314824,1455324148,4,4,0,0,0,4514661843,1455346571,1455346571,10000000702,1455347077,1455347077,3121956486,1455346499,1455346499,1000000272,1455345623,1455345623,25,1455343765,1455343765,,,,,,,,,,,,,,,
imul_latency,warm,basic,2,0,1000000000,1,1000000000,2143982500,976794765,4,4,0,0,9215150800219179009,3008944386,976816919,976816919,3000000674,976816801,976816801,2100018866,976816513,976816513,1000000272,976815442,976815442,29,976813718,976813718,,,,,,,,,,,,,,,
xor_throughput,warm,basic,2,0,1000000000,8,8000000000,1652066232,752678729,4,4,0,0,0,2340196595,752701033,752701033,10000000703,752701690,752701690,1618720840,752701605,752701605,1000000272,752700663,752700663,24,752698989,752698989,,,,,,,,,,,,,,,
add_latency,warm,basic,2,0,100000,1,100000,110416,50367,4,4,0,0,300001,157023,69664,69664,300674,68627,68627,112068,67464,67464,100272,65768,65768,28,63340,63340,,,,,,,,,,,,,,,
add_latency,warm,none,2,0,1000000000,1,1000000000,704758836,321087080,4,4,0,0,3000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
