variant,implementation,value_type,footprint_bytes,repetitions,median_ns_per_element,p10_ns_per_element,p90_ns_per_element,min_ns_per_element,max_ns_per_element
cpp_unroll,u2,float,1048576,15,1.367350000,1.366950000,1.367610000,1.366840000,1.368290000
cpp_unroll,u2,float,8388608,15,1.416180000,1.401840000,1.419640000,1.400410000,1.421190000
cpp_unroll,u2,float,67108864,15,1.426320000,1.425610000,1.426870000,1.425530000,1.427640000
cpp_unroll,u8,double,32768,15,1.367010000,1.366880000,1.368130000,1.366810000,1.370300000
cpp_unroll,u8,double,262144,15,1.367450000,1.366840000,1.367540000,1.366840000,1.367560000
cpp_unroll,u8,double,1048576,15,1.367030000,1.366940000,1.367690000,1.366910000,1.367710000
cpp_unroll,u8,double,8388608,15,1.406760000,1.403630000,1.411550000,1.403370000,1.413150000
cpp_unroll,u8,double,67108864,15,1.426910000,1.425700000,1.427950000,1.425650000,1.429170000
cpp_unroll,u8,float,32768,15,1.367210000,1.366880000,1.367590000,1.366850000,1.369700000
cpp_unroll,u8,float,262144,15,1.367150000,1.366840000,1.367220000,1.366830000,1.367320000
cpp_unroll,u8,float,1048576,15,1.367220000,1.366860000,1.367260000,1.366860000,1.367660000
cpp_unroll,u8,float,8388608,15,1.384660000,1.381840000,1.387500000,1.380830000,1.389950000
cpp_unroll,u8,float,67108864,15,1.392180000,1.391600000,1.396930000,1.391470000,1.400120000
go,scalar,double,32768,15,1.372980000,1.372320000,1.374540000,1.372180000,1.384220000
go,scalar,double,262144,15,1.373160000,1.372900000,1.374020000,1.372420000,1.375500000
go,scalar,double,1048576,15,1.374200000,1.373140000,1.376100000,1.372950000,1.381060000
go,scalar,double,8388608,15,1.480620000,1.478710000,1.489920000,1.478370000,1.494410000
go,scalar,double,67108864,15,1.503480000,1.502630000,1.505200000,1.501630000,1.506520000
go,scalar,float,32768,15,1.371260000,1.370970000,1.376060000,1.370940000,1.377230000
go,scalar,float,262144,15,1.371730000,1.371340000,1.374880000,1.371070000,1.375560000
go,scalar,float,1048576,15,1.372120000,1.371750000,1.372550000,1.371680000,1.381220000
go,scalar,float,8388608,15,1.423450000,1.415090000,1.436930000,1.414750000,1.443470000
go,scalar,float,67108864,15,1.440430000,1.438520000,1.442720000,1.438400000,1.449140000
go,scalar,int,32768,15,0.856677000,0.768559000,0.879279000,0.764734000,0.897719000
go,scalar,int,262144,15,0.859679000,0.836987000,0.883482000,0.774676000,0.889688000
go,scalar,int,1048576,15,0.819893000,0.773076000,0.874512000,0.704174000,0.878155000
go,scalar,int,8388608,15,0.765461000,0.763486000,0.776092000,0.763372000,0.794345000
go,scalar,int,67108864,15,0.790537000,0.789617000,0.793462000,0.789497000,0.793486000
go,scalar,short,32768,15,0.652997000,0.652737000,0.653400000,0.652725000,0.654797000
go,scalar,short,262144,15,0.684079000,0.683625000,0.684584000,0.683437000,0.684777000
go,scalar,short,1048576,15,0.687188000,0.686929000,0.687663000,0.686907000,0.688726000
go,scalar,short,8388608,15,0.725006000,0.722206000,0.731451000,0.718712000,0.739282000
go,scalar,short,67108864,15,0.733203000,0.728343000,0.735891000,0.728192000,0.736647000
go,scalar,string16,32768,15,16.910200000,16.908700000,16.965800000,16.908200000,17.017100000
go,scalar,string16,262144,15,16.905600000,16.904600000,16.932400000,16.903500000,16.938700000
go,scalar,string16,1048576,15,16.908200000,16.906600000,16.910300000,16.905100000,17.005200000
go,scalar,string16,8388608,15,17.185800000,17.140200000,17.266600000,17.132900000,17.271400000
go,scalar,string16,67108864,15,17.240900000,17.209900000,17.281200000,17.202600000,17.303500000
rust,avx2,double,32768,15,0.337793000,0.337610000,0.339486000,0.337514000,0.339573000
rust,avx2,double,262144,15,0.377233000,0.374904000,0.378011000,0.374446000,0.379907000
rust,avx2,double,1048576,15,0.380203000,0.379805000,0.380981000,0.379632000,0.381238000
rust,avx2,double,8388608,15,0.500741000,0.495885000,0.542930000,0.494873000,0.555036000
rust,avx2,double,67108864,15,0.618394000,0.617046000,0.631946000,0.616819000,0.646147000
rust,avx2,float,32768,15,0.168981000,0.168964000,0.169297000,0.168960000,0.169774000
rust,avx2,float,262144,15,0.188654000,0.187668000,0.189247000,0.187591000,0.189394000
rust,avx2,float,1048576,15,0.190069000,0.189851000,0.190447000,0.189780000,0.190509000
rust,avx2,float,8388608,15,0.249089000,0.247328000,0.277186000,0.247224000,0.277448000
rust,avx2,float,67108864,15,0.308624000,0.307943000,0.314319000,0.307707000,0.327898000
rust,avx2,int,32768,15,0.115532000,0.115441000,0.115761000,0.115441000,0.118473000
rust,avx2,int,262144,15,0.142574000,0.139239000,0.146840000,0.138651000,0.147702000
rust,avx2,int,1048576,15,0.159102000,0.158669000,0.159305000,0.158657000,0.159517000
rust,avx2,int,8388608,15,0.239954000,0.238265000,0.288595000,0.234802000,0.311067000
rust,avx2,int,67108864,15,0.306919000,0.306402000,0.308664000,0.305718000,0.329647000
rust,avx2,short,32768,15,0.058008800,0.057931700,0.058133300,0.057927800,0.058358000
rust,avx2,short,262144,15,0.071894400,0.070905800,0.074058700,0.068842500,0.074420000
rust,avx2,short,1048576,15,0.079601400,0.079389800,0.079655300,0.079366600,0.079690100
rust,avx2,short,8388608,15,0.119552000,0.118509000,0.129889000,0.117531000,0.157905000
rust,avx2,short,67108864,15,0.153452000,0.153107000,0.164739000,0.153086000,0.171675000
rust,avx2,string16,32768,15,0.473405000,0.472420000,0.475826000,0.472227000,0.479449000
rust,avx2,string16,262144,15,0.657056000,0.636799000,0.662283000,0.634847000,0.675052000
rust,avx2,string16,1048576,15,0.683215000,0.681773000,0.684704000,0.681444000,0.686045000
rust,avx2,string16,8388608,15,1.021200000,1.012540000,1.139570000,1.006640000,1.389930000
rust,avx2,string16,67108864,15,1.267700000,1.267090000,1.310830000,1.266780000,1.361100000
rust,scalar,double,32768,15,1.367510000,1.366850000,1.369180000,1.366810000,1.369320000
rust,scalar,double,262144,15,1.366930000,1.366860000,1.367830000,1.366850000,1.368180000
rust,scalar,double,1048576,15,1.367540000,1.367050000,1.368060000,1.367010000,1.369460000
rust,scalar,double,8388608,15,1.468470000,1.463770000,1.491650000,1.462140000,1.493140000
rust,scalar,double,67108864,15,1.493470000,1.492540000,1.494800000,1.491420000,1.494830000
rust,scalar,float,32768,15,1.367790000,1.367250000,1.374990000,1.367230000,1.375580000
rust,scalar,float,262144,15,1.367160000,1.366850000,1.367200000,1.366850000,1.367210000
rust,scalar,float,1048576,15,1.367370000,1.367140000,1.367500000,1.366880000,1.368780000
rust,scalar,float,8388608,15,1.407180000,1.403430000,1.432030000,1.403300000,1.436620000
rust,scalar,float,67108864,15,1.426110000,1.425650000,1.426990000,1.425150000,1.427060000
rust,scalar,int,32768,15,0.582018000,0.581710000,0.582576000,0.581700000,0.583309000
rust,scalar,int,262144,15,0.588872000,0.588256000,0.589630000,0.587942000,0.589680000
rust,scalar,int,1048576,15,0.593809000,0.592990000,0.594533000,0.592856000,0.595136000
rust,scalar,int,8388608,15,0.650911000,0.648457000,0.665196000,0.647674000,0.683468000
rust,scalar,int,67108864,15,0.667277000,0.666732000,0.670163000,0.666694000,0.672089000
rust,scalar,short,32768,15,0.581151000,0.580901000,0.584299000,0.580825000,0.584854000
rust,scalar,short,262144,15,0.589130000,0.588662000,0.589585000,0.588159000,0.589666000
rust,scalar,short,1048576,15,0.591383000,0.590392000,0.591786000,0.590336000,0.593321000
rust,scalar,short,8388608,15,0.619650000,0.617605000,0.623775000,0.615723000,0.625401000
rust,scalar,short,67108864,15,0.628058000,0.627809000,0.629379000,0.627673000,0.630837000
rust,scalar,string16,32768,15,4.132590000,4.126970000,4.163840000,4.126610000,4.174690000
rust,scalar,string16,262144,15,4.979750000,4.968860000,4.988780000,4.967800000,4.991380000
rust,scalar,string16,1048576,15,5.026450000,5.024610000,5.027910000,5.024610000,5.033610000
rust,scalar,string16,8388608,15,5.243950000,5.219860000,5.274570000,5.215520000,5.312600000
rust,scalar,string16,67108864,15,5.296550000,5.289480000,5.341520000,5.288340000,5.376400000
rust_unroll,u1,double,32768,15,1.367600000,1.366970000,1.369580000,1.366880000,1.381150000
rust_unroll,u1,double,262144,15,1.366990000,1.366880000,1.367530000,1.366880000,1.367590000
rust_unroll,u1,double,1048576,15,1.367380000,1.367100000,1.368090000,1.366960000,1.368140000
rust_unroll,u1,double,8388608,15,1.468230000,1.464580000,1.479980000,1.460540000,1.488030000
rust_unroll,u1,double,67108864,15,1.494420000,1.493420000,1.496230000,1.492760000,1.496770000
rust_unroll,u1,float,32768,15,1.367350000,1.367000000,1.368270000,1.366800000,1.369260000
