variant,implementation,value_type,footprint_bytes,repetitions,median_cycles_per_element,p10_cycles_per_element,p90_cycles_per_element,median_instructions_per_element,p10_instructions_per_element,p90_instructions_per_element,median_ref_cycles_per_element
cpp_native,scalar,string16,1048576,15,11.012900000,11.010200000,11.020500000,35.000100000,35.000100000,35.000100000,11.012900000
cpp_native,scalar,string16,8388608,15,11.513000000,11.444700000,11.654000000,35.000000000,35.000000000,35.000000000,11.513000000
cpp_native,scalar,string16,67108864,15,11.603600000,11.599100000,11.615200000,35.000000000,35.000000000,35.000000000,11.603600000
cpp_unroll,u1,double,32768,15,3.000410000,3.000110000,3.001380000,4.001710000,4.001710000,4.001710000,3.000410000
cpp_unroll,u1,double,262144,15,3.000230000,3.000070000,3.000470000,4.000210000,4.000210000,4.000210000,3.000230000
cpp_unroll,u1,double,1048576,15,3.000580000,3.000260000,3.000690000,4.000050000,4.000050000,4.000050000,3.000580000
cpp_unroll,u1,double,8388608,15,3.121960000,3.119230000,3.153780000,4.000010000,4.000010000,4.000010000,3.121960000
cpp_unroll,u1,double,67108864,15,3.167170000,3.165660000,3.168090000,4.000000000,4.000000000,4.000000000,3.167170000
cpp_unroll,u1,float,32768,15,3.001040000,3.000290000,3.002680000,4.000860000,4.000860000,4.000860000,3.001040000
cpp_unroll,u1,float,262144,15,3.000140000,3.000090000,3.000220000,4.000110000,4.000110000,4.000110000,3.000140000
cpp_unroll,u1,float,1048576,15,3.000580000,3.000100000,3.000720000,4.000030000,4.000030000,4.000030000,3.000580000
cpp_unroll,u1,float,8388608,15,3.095440000,3.081330000,3.117750000,4.000000000,4.000000000,4.000000000,3.095440000
cpp_unroll,u1,float,67108864,15,3.129730000,3.129300000,3.132360000,4.000000000,4.000000000,4.000000000,3.129730000
cpp_unroll,u2,double,32768,15,3.000380000,3.000140000,3.000960000,2.502200000,2.502200000,2.502200000,3.000380000
cpp_unroll,u2,double,262144,15,3.000210000,3.000110000,3.000490000,2.500280000,2.500280000,2.500280000,3.000210000
cpp_unroll,u2,double,1048576,15,3.000560000,3.000230000,3.000760000,2.500070000,2.500070000,2.500070000,3.000560000
cpp_unroll,u2,double,8388608,15,3.128990000,3.124750000,3.146790000,2.500010000,2.500010000,2.500010000,3.128990000
cpp_unroll,u2,double,67108864,15,3.178150000,3.175950000,3.179490000,2.500000000,2.500000000,2.500000000,3.178150000
cpp_unroll,u2,float,32768,15,3.002180000,3.000330000,3.008140000,3.001220000,3.001220000,3.001220000,3.002180000
cpp_unroll,u2,float,262144,15,3.000130000,3.000090000,3.000290000,3.000150000,3.000150000,3.000150000,3.000130000
cpp_unroll,u2,float,1048576,15,3.000590000,3.000140000,3.001070000,3.000040000,3.000040000,3.000040000,3.000590000
cpp_unroll,u2,float,8388608,15,3.108400000,3.076220000,3.115300000,3.000010000,3.000010000,3.000010000,3.108400000
cpp_unroll,u2,float,67108864,15,3.129940000,3.128820000,3.131180000,3.000000000,3.000000000,3.000000000,3.129940000
cpp_unroll,u8,double,32768,15,3.000490000,3.000190000,3.001560000,1.377200000,1.377200000,1.377200000,3.000490000
cpp_unroll,u8,double,262144,15,3.000120000,3.000070000,3.000260000,1.375280000,1.375280000,1.375280000,3.000120000
cpp_unroll,u8,double,1048576,15,3.000390000,3.000230000,3.000540000,1.375070000,1.375070000,1.375070000,3.000390000
cpp_unroll,u8,double,8388608,15,3.086950000,3.080860000,3.098240000,1.375010000,1.375010000,1.375010000,3.086950000
cpp_unroll,u8,double,67108864,15,3.131360000,3.129320000,3.134250000,1.375000000,1.375000000,1.375000000,3.131360000
cpp_unroll,u8,float,32768,15,3.000470000,3.000070000,3.001040000,1.626340000,1.626340000,1.626340000,3.000470000
cpp_unroll,u8,float,262144,15,3.000100000,3.000070000,3.000440000,1.625170000,1.625170000,1.625170000,3.000100000
cpp_unroll,u8,float,1048576,15,3.000270000,3.000160000,3.001000000,1.625040000,1.625040000,1.625040000,3.000270000
cpp_unroll,u8,float,8388608,15,3.039230000,3.032310000,3.044730000,1.625010000,1.625010000,1.625010000,3.039230000
cpp_unroll,u8,float,67108864,15,3.055010000,3.054400000,3.065420000,1.625000000,1.625000000,1.625000000,3.055010000
go,scalar,double,32768,15,3.000800000,3.000530000,3.002670000,5.002080000,5.002070000,5.002080000,3.000800000
go,scalar,double,262144,15,3.000750000,3.000640000,3.001010000,5.000370000,5.000370000,5.000370000,3.000750000
go,scalar,double,1048576,15,3.002250000,3.001630000,3.004040000,5.000180000,5.000190000,5.000180000,3.002250000
go,scalar,double,8388608,15,3.229980000,3.223970000,3.251670000,5.001640000,5.001630000,5.001640000,3.229980000
go,scalar,double,67108864,15,3.285960000,3.284580000,3.288590000,5.000140000,5.000140000,5.000130000,3.285960000
go,scalar,float,32768,15,3.000550000,3.000460000,3.008000000,5.001100000,5.001100000,5.001100000,3.000550000
go,scalar,float,262144,15,3.000690000,3.000510000,3.004360000,5.000240000,5.000240000,5.000240000,3.000690000
go,scalar,float,1048576,15,3.001310000,3.001020000,3.001960000,5.000150000,5.000150000,5.000150000,3.001310000
go,scalar,float,8388608,15,3.106200000,3.091180000,3.136790000,5.000880000,5.000870000,5.000870000,3.106200000
go,scalar,float,67108864,15,3.145700000,3.143400000,3.149310000,5.000130000,5.000130000,5.000130000,3.145700000
go,scalar,int,32768,15,1.873680000,1.680110000,1.923250000,5.001050000,5.001040000,5.001050000,1.873680000
go,scalar,int,262144,15,1.879580000,1.829830000,1.930950000,5.000190000,5.000190000,5.000200000,1.879580000
go,scalar,int,1048576,15,1.791090000,1.688620000,1.911930000,5.000100000,5.000100000,5.000100000,1.791090000
go,scalar,int,8388608,15,1.670160000,1.667340000,1.692920000,5.000810000,5.000810000,5.000820000,1.670160000
go,scalar,int,67108864,15,1.727030000,1.725830000,1.732200000,5.000070000,5.000070000,5.000070000,1.727030000
go,scalar,short,32768,15,1.428750000,1.428550000,1.429290000,5.000540000,5.000540000,5.000540000,1.428750000
go,scalar,short,262144,15,1.496470000,1.495650000,1.497570000,5.000120000,5.000120000,5.000120000,1.496470000
go,scalar,short,1048576,15,1.503080000,1.502740000,1.504080000,5.000070000,5.000070000,5.000070000,1.503080000
go,scalar,short,8388608,15,1.582950000,1.576210000,1.595320000,5.000430000,5.000430000,5.000430000,1.582950000
go,scalar,short,67108864,15,1.601250000,1.592100000,1.606530000,5.000060000,5.000060000,5.000060000,1.601250000
