sample_id,event,value,unit,time_enabled,time_running
r01-o062-cpp_native-scalar-int-262144,ref-cycles,696740044,count,317462355,317462355
r01-o063-go-scalar-int-1048576,cycles,824505838,count,376976844,376976844
r01-o063-go-scalar-int-1048576,instructions,2684403334,count,376976844,376976844
r01-o063-go-scalar-int-1048576,ref-cycles,824506166,count,376976844,376976844
r01-o064-c-avx2-short-262144,cycles,111932644,count,51025321,51025321
r01-o064-c-avx2-short-262144,instructions,268788086,count,51025321,51025321
r01-o064-c-avx2-short-262144,ref-cycles,111932634,count,51025321,51025321
r01-o065-go-scalar-double-67108864,cycles,882509082,count,403355224,403355224
r01-o065-go-scalar-double-67108864,instructions,1342213105,count,403355224,403355224
r01-o065-go-scalar-double-67108864,ref-cycles,882509122,count,403355224,403355224
r01-o066-rust_unroll-u1-double-8388608,cycles,876344467,count,399323322,399323322
r01-o066-rust_unroll-u1-double-8388608,instructions,1073743390,count,399323322,399323322
r01-o066-rust_unroll-u1-double-8388608,ref-cycles,876344458,count,399323322,399323322
r01-o067-c-scalar-string16-8388608,cycles,2107962578,count,960447895,960447895
r01-o067-c-scalar-string16-8388608,instructions,4831840640,count,960447895,960447895
r01-o067-c-scalar-string16-8388608,ref-cycles,2107962582,count,960447895,960447895
r01-o068-cpp_unroll-u8-float-1048576,cycles,1611149004,count,734067515,734067515
r01-o068-cpp_unroll-u8-float-1048576,instructions,872438034,count,734067515,734067515
r01-o068-cpp_unroll-u8-float-1048576,ref-cycles,1611148990,count,734067515,734067515
r01-o069-c-avx2-short-32768,cycles,81800619,count,37324310,37324310
r01-o069-c-avx2-short-32768,instructions,271253880,count,37324310,37324310
r01-o069-c-avx2-short-32768,ref-cycles,81800620,count,37324310,37324310
r01-o070-clangpp-scalar-short-32768,cycles,1074902664,count,489752828,489752828
r01-o070-clangpp-scalar-short-32768,instructions,1476985965,count,489752828,489752828
r01-o070-clangpp-scalar-short-32768,ref-cycles,1074902664,count,489752828,489752828
r01-o071-cpp_native-scalar-string16-1048576,cycles,1479142088,count,673950063,673950063
r01-o071-cpp_native-scalar-string16-1048576,instructions,4697635089,count,673950063,673950063
r01-o071-cpp_native-scalar-string16-1048576,ref-cycles,1479142104,count,673950063,673950063
r01-o072-cpp-scalar-int-32768,cycles,692016284,count,315309574,315309574
r01-o072-cpp-scalar-int-32768,instructions,2147811657,count,315309574,315309574
