sample_id,round,compiler,footprint_bytes,passes,operations,elapsed_ns,checksum,expected_checksum,pmu_cycles,pmu_instructions,pmu_ref_cycles,pmu_time_enabled,pmu_time_running,pmu_available
r04-o11-clang18_auto-8388608,4,clang18_auto,8388608,160,335544320,2342340929,2634976128,2634976128,5141250573,786436991,5141250576,2342378241,2342378241,1
r04-o12-gcc13_auto-536870912,4,gcc13_auto,536870912,3,402653184,11353718637,1543198232,1543198232,24920473981,1157628253,24920473952,11353753685,11353753685,1
r04-o13-gcc13_scalar-262144,4,gcc13_scalar,262144,5120,335544320,490143271,1812397056,1812397056,1075827245,1677747484,1075827258,490171062,490171062,1
r04-o14-gcc13_scalar-36864,4,gcc13_scalar,36864,36409,335545344,287939749,3368420452,3368420452,632007428,1677909049,632007420,287966976,287966976,1
r04-o15-gcc13_auto-8388608,4,gcc13_auto,8388608,160,335544320,2335595513,2634976128,2634976128,5126442819,964692624,5126442838,2335631053,2335631053,1
r04-o16-clang18_scalar-6291456,4,clang18_scalar,6291456,214,336592896,1907620208,196891892,196891892,4187074806,799411210,4187074782,1907653357,1907653357,1
r04-o17-clang18_scalar-536870912,4,clang18_scalar,536870912,3,402653184,10568018371,1543198232,1543198232,23195929465,956302495,23195929482,10568053151,10568053151,1
r04-o18-clang18_scalar-32768,4,clang18_scalar,32768,40960,335544320,250992587,3633848320,3633848320,550913235,797287556,550913242,251020883,251020883,1
r04-o19-clang18_auto-262144,4,clang18_auto,262144,5120,335544320,425363628,1812397056,1812397056,933643635,786556031,933643656,425391850,425391850,1
r04-o20-gcc13_scalar-6291456,4,gcc13_scalar,6291456,214,336592896,2096267914,196891892,196891892,4601138598,1682965834,4601138608,2096301397,2096301397,1
r04-o21-gcc13_auto-1048576,4,gcc13_auto,1048576,1280,335544320,724840342,2000108288,2000108288,1590968336,964709424,1590968346,724868539,724868539,1
r04-o22-clang18_auto-36864,4,clang18_auto,36864,36409,335545344,277992190,3368420452,3368420452,610175514,787309367,610175522,278020430,278020430,1
