round,sample_id,compiler,footprint_bytes,passes,target_operations,shuffle_key
8,r08-o17-clang18_auto-1048576,clang18_auto,1048576,1221,20000000,1324928169
8,r08-o18-gcc13_auto-32768,gcc13_auto,32768,195313,100000000,1333746535
8,r08-o19-gcc13_auto-262144,gcc13_auto,262144,9766,40000000,1385322899
8,r08-o20-clang18_auto-536870912,clang18_auto,536870912,1,4000000,1392548536
8,r08-o21-gcc13_scalar-6291456,gcc13_scalar,6291456,102,10000000,1397154492
8,r08-o22-gcc13_scalar-36864,gcc13_scalar,36864,173612,100000000,1407307419
8,r08-o23-clang18_scalar-8388608,clang18_scalar,8388608,62,8000000,1703982384
8,r08-o24-clang18_auto-6291456,clang18_auto,6291456,102,10000000,1707535941
8,r08-o25-clang18_scalar-32768,clang18_scalar,32768,195313,100000000,1866737572
8,r08-o26-gcc13_scalar-8388608,gcc13_scalar,8388608,62,8000000,1897552504
8,r08-o27-clang18_auto-36864,clang18_auto,36864,173612,100000000,1928828880
8,r08-o28-clang18_auto-262144,clang18_auto,262144,9766,40000000,2054126300
9,r09-o01-clang18_auto-262144,clang18_auto,262144,9766,40000000,0071574773
9,r09-o02-clang18_auto-6291456,clang18_auto,6291456,102,10000000,0078526445
9,r09-o03-gcc13_scalar-8388608,gcc13_scalar,8388608,62,8000000,0241389640
9,r09-o04-gcc13_scalar-536870912,gcc13_scalar,536870912,1,4000000,0414781605
9,r09-o05-clang18_scalar-1048576,clang18_scalar,1048576,1221,20000000,0469338506
9,r09-o06-gcc13_auto-1048576,gcc13_auto,1048576,1221,20000000,0526303596
9,r09-o07-clang18_scalar-8388608,clang18_scalar,8388608,62,8000000,0616467216
9,r09-o08-gcc13_auto-6291456,gcc13_auto,6291456,102,10000000,0770698665
9,r09-o09-gcc13_auto-36864,gcc13_auto,36864,173612,100000000,0829410603
9,r09-o10-gcc13_auto-536870912,gcc13_auto,536870912,1,4000000,0932813974
9,r09-o11-clang18_scalar-36864,clang18_scalar,36864,173612,100000000,0941586392
9,r09-o12-clang18_scalar-262144,clang18_scalar,262144,9766,40000000,0961744589
9,r09-o13-gcc13_scalar-32768,gcc13_scalar,32768,195313,100000000,1310484398
9,r09-o14-gcc13_scalar-6291456,gcc13_scalar,6291456,102,10000000,1379813470
9,r09-o15-gcc13_scalar-36864,gcc13_scalar,36864,173612,100000000,1477554977
9,r09-o16-clang18_scalar-6291456,clang18_scalar,6291456,102,10000000,1536041234
9,r09-o17-clang18_scalar-536870912,clang18_scalar,536870912,1,4000000,1573712305
9,r09-o18-clang18_auto-1048576,clang18_auto,1048576,1221,20000000,1634030923
9,r09-o19-clang18_auto-536870912,clang18_auto,536870912,1,4000000,1727629324
9,r09-o20-gcc13_scalar-1048576,gcc13_scalar,1048576,1221,20000000,1832163107
9,r09-o21-clang18_auto-8388608,clang18_auto,8388608,62,8000000,1955570704
9,r09-o22-clang18_auto-36864,clang18_auto,36864,173612,100000000,1972823124
9,r09-o23-clang18_scalar-32768,clang18_scalar,32768,195313,100000000,1989149053
9,r09-o24-gcc13_auto-8388608,gcc13_auto,8388608,62,8000000,2020527465
9,r09-o25-gcc13_auto-262144,gcc13_auto,262144,9766,40000000,2062931749
9,r09-o26-clang18_auto-32768,clang18_auto,32768,195313,100000000,2072596346
9,r09-o27-gcc13_auto-32768,gcc13_auto,32768,195313,100000000,2114069826
9,r09-o28-gcc13_scalar-262144,gcc13_scalar,262144,9766,40000000,2130176036
10,r10-o01-clang18_auto-262144,clang18_auto,262144,9766,40000000,0236506893
10,r10-o02-clang18_scalar-6291456,clang18_scalar,6291456,102,10000000,0309159969
10,r10-o03-gcc13_scalar-1048576,gcc13_scalar,1048576,1221,20000000,0401164551
10,r10-o04-gcc13_auto-262144,gcc13_auto,262144,9766,40000000,0593056952
10,r10-o05-clang18_auto-6291456,clang18_auto,6291456,102,10000000,0597000596
10,r10-o06-clang18_scalar-1048576,clang18_scalar,1048576,1221,20000000,0603609906
10,r10-o07-gcc13_scalar-8388608,gcc13_scalar,8388608,62,8000000,0732710423
10,r10-o08-clang18_scalar-36864,clang18_scalar,36864,173612,100000000,0733472110
10,r10-o09-gcc13_auto-32768,gcc13_auto,32768,195313,100000000,0746909470
10,r10-o10-gcc13_auto-1048576,gcc13_auto,1048576,1221,20000000,0753996322
10,r10-o11-gcc13_auto-36864,gcc13_auto,36864,173612,100000000,0872604208
10,r10-o12-clang18_auto-32768,clang18_auto,32768,195313,100000000,1122199153
10,r10-o13-gcc13_auto-6291456,gcc13_auto,6291456,102,10000000,1220848033
10,r10-o14-gcc13_scalar-6291456,gcc13_scalar,6291456,102,10000000,1362472448
10,r10-o15-clang18_scalar-262144,clang18_scalar,262144,9766,40000000,1495115482
10,r10-o16-gcc13_scalar-36864,gcc13_scalar,36864,173612,100000000,1547802535
10,r10-o17-clang18_scalar-8388608,clang18_scalar,8388608,62,8000000,1676435695
10,r10-o18-clang18_auto-8388608,clang18_auto,8388608,62,8000000,1748647091
10,r10-o19-gcc13_auto-8388608,gcc13_auto,8388608,62,8000000,1756646190
10,r10-o20-gcc13_auto-536870912,gcc13_auto,536870912,1,4000000,1793934886
10,r10-o21-gcc13_scalar-262144,gcc13_scalar,262144,9766,40000000,1915001277
10,r10-o22-clang18_auto-1048576,clang18_auto,1048576,1221,20000000,1943133677
10,r10-o23-clang18_auto-36864,clang18_auto,36864,173612,100000000,2016817368
10,r10-o24-clang18_scalar-536870912,clang18_scalar,536870912,1,4000000,2047784125
10,r10-o25-clang18_auto-536870912,clang18_auto,536870912,1,4000000,2062710112
10,r10-o26-gcc13_scalar-32768,gcc13_scalar,32768,195313,100000000,2070890663
10,r10-o27-gcc13_scalar-536870912,gcc13_scalar,536870912,1,4000000,2098984326
10,r10-o28-clang18_scalar-32768,clang18_scalar,32768,195313,100000000,2111560534
11,r11-o01-clang18_scalar-32768,clang18_scalar,32768,195313,100000000,0086488368
11,r11-o02-clang18_auto-1048576,clang18_auto,1048576,1221,20000000,0104752784
11,r11-o03-clang18_auto-32768,clang18_auto,32768,195313,100000000,0171801960
11,r11-o04-clang18_auto-536870912,clang18_auto,536870912,1,4000000,0250307253
11,r11-o05-clang18_scalar-536870912,clang18_scalar,536870912,1,4000000,0374372298
11,r11-o06-clang18_auto-262144,clang18_auto,262144,9766,40000000,0401439013
