sample_id,round,compiler,footprint_bytes,passes,operations,elapsed_ns,checksum,expected_checksum,pmu_cycles,pmu_instructions,pmu_ref_cycles,pmu_time_enabled,pmu_time_running,pmu_available
r05-o18-gcc13_scalar-6291456,5,gcc13_scalar,6291456,102,10027008,427385551,21543721854647272,21543721854647272,938079535,90243355,938079538,427414657,427414657,1
r05-o19-clang18_scalar-32768,5,clang18_scalar,32768,195313,100000256,286463868,223978264113942993,223978264113942993,628769257,437502209,628769262,286491104,286491104,1
r05-o20-gcc13_auto-262144,5,gcc13_auto,262144,9766,40001536,490093562,85449381942251735,85449381942251735,1075718472,360014107,1075718490,490120240,490120240,1
r05-o21-clang18_auto-262144,5,clang18_auto,262144,9766,40001536,554943634,85449381942251735,85449381942251735,1218060928,175007808,1218060932,554972320,554972320,1
r05-o22-clang18_auto-32768,5,clang18_auto,32768,195313,100000256,286976190,223978264113942993,223978264113942993,629894844,437502208,629894826,287004538,287004538,1
r05-o23-gcc13_auto-1048576,5,gcc13_auto,1048576,1221,20004864,437905256,43098968983893989,43098968983893989,961169781,180044059,961169814,437932866,437932866,1
r05-o24-clang18_scalar-36864,5,clang18_scalar,36864,173612,100000512,622696487,220423592280896003,220423592280896003,1366772978,437503329,1366772968,622725060,622725060,1
r05-o25-gcc13_auto-536870912,5,gcc13_auto,536870912,1,8388608,843424139,18017347997925624,18017347997925624,1851251490,75497755,1851251512,843460373,843460373,1
r05-o26-clang18_auto-36864,5,clang18_auto,36864,173612,100000512,622152761,220423592280896003,220423592280896003,1365578719,437503328,1365578698,622179447,622179447,1
r05-o27-clang18_scalar-536870912,5,clang18_scalar,536870912,1,8388608,827739319,18017347997925624,18017347997925624,1816826114,36701249,1816826110,827774639,827774639,1
r05-o28-clang18_scalar-1048576,5,clang18_scalar,1048576,1221,20004864,390897670,43098968983893989,43098968983893989,857993403,87522369,857993378,390926334,390926334,1
r06-o01-gcc13_auto-262144,6,gcc13_auto,262144,9766,40001536,616183119,85449381942251735,85449381942251735,1352474996,360014107,1352474992,616212159,616212159,1
r06-o02-clang18_scalar-1048576,6,clang18_scalar,1048576,1221,20004864,414429355,43098968983893989,43098968983893989,909644222,87522369,909644230,414459541,414459541,1
r06-o03-clang18_scalar-536870912,6,clang18_scalar,536870912,1,8388608,1094507964,18017347997925624,18017347997925624,2402361030,36701249,2402361038,1094544174,1094544174,1
r06-o04-clang18_auto-8388608,6,clang18_auto,8388608,62,8126464,660977967,17444193244271551,17444193244271551,1450798075,35554368,1450798052,661011298,661011298,1
r06-o05-gcc13_auto-536870912,6,gcc13_auto,536870912,1,8388608,1180497315,18017347997925624,18017347997925624,2591098895,75497755,2591098884,1180532202,1180532202,1
r06-o06-gcc13_scalar-262144,6,gcc13_scalar,262144,9766,40001536,471130546,85449381942251735,85449381942251735,1034096209,360014107,1034096206,471158660,471158660,1
r06-o07-clang18_auto-32768,6,clang18_auto,32768,195313,100000256,286650735,223978264113942993,223978264113942993,629179705,437502208,629179716,286677885,286677885,1
r06-o08-gcc13_auto-8388608,6,gcc13_auto,8388608,62,8126464,494444802,17444193244271551,17444193244271551,1085269296,73138459,1085269306,494474638,494474638,1
r06-o09-clang18_auto-6291456,6,clang18_auto,6291456,102,10027008,572379115,21543721854647272,21543721854647272,1256330604,43869248,1256330614,572410050,572410050,1
r06-o10-gcc13_auto-36864,6,gcc13_auto,36864,173612,100000512,1002355057,220423592280896003,220423592280896003,2200089896,900004891,2200089892,1002381708,1002381708,1
r06-o11-clang18_auto-1048576,6,clang18_auto,1048576,1221,20004864,394577192,43098968983893989,43098968983893989,866070306,87522368,866070304,394605466,394605466,1
r06-o12-clang18_auto-536870912,6,clang18_auto,536870912,1,8388608,825483589,18017347997925624,18017347997925624,1811874725,36701248,1811874724,825521066,825521066,1
r06-o13-gcc13_scalar-8388608,6,gcc13_scalar,8388608,62,8126464,473983377,17444193244271551,17444193244271551,1040358232,73138459,1040358242,474013478,474013478,1
